,time,y_fit
0,24.5,6.376755229689679
1,26.272727272727273,5.718158499489865
2,28.045454545454547,5.140254963208798
3,29.81818181818182,4.633157855172994
4,31.59090909090909,4.188191765100117
5,33.36363636363636,3.797744219300342
6,35.13636363636364,3.455135446582174
7,36.90909090909091,3.154504100819689
8,38.68181818181818,2.890706985124372
9,40.45454545454545,2.6592310621042
10,42.22727272727273,2.4561162448825966
11,44.0,2.2778876479871415
12,45.77272727272727,2.1214961390571667
13,47.54545454545455,1.9842661743296715
14,49.31818181818181,1.8638500254737784
15,51.09090909090909,1.7581876146870508
16,52.86363636363636,1.66547127091306
17,54.63636363636364,1.5841148042300492
18,56.40909090909091,1.5127263693357864
19,58.18181818181818,1.450084653877453
20,59.95454545454545,1.395117984256879
21,61.72727272727273,1.3468859914535058
22,63.5,1.3045635232042394
23,65.27272727272728,1.2674265273099934
24,67.04545454545455,1.2348396645607222
25,68.81818181818181,1.2062454393610376
26,70.5909090909091,1.181154662103304
27,72.36363636363636,1.1591380801186264
28,74.13636363636363,1.1398190340281504
29,75.9090909090909,1.1228670138596386
30,77.68181818181819,1.1079920046874572
31,79.45454545454545,1.0949395250612544
32,81.22727272727272,1.0834862733408417
33,83.0,1.073436307454835
34,84.77272727272728,1.064617692726418
35,86.54545454545455,1.056879560417279
36,88.31818181818181,1.050089526667331
37,90.0909090909091,1.044131427673471
38,91.86363636363636,1.0389033323608516
39,93.63636363636364,1.0343157985474654
40,95.4090909090909,1.0302903427685388
41,97.18181818181819,1.026758097582507
42,98.95454545454545,1.0236586333877784
43,100.72727272727272,1.0209389245939513
44,102.5,1.018552442460749
45,104.27272727272727,1.016458359084977
46,106.04545454545455,1.0146208489173227
47,107.81818181818181,1.013008475859355
48,109.5909090909091,1.0115936554551885
49,111.36363636363636,1.0103521829769966
50,113.13636363636364,1.0092628193308621
51,114.9090909090909,1.0083069276986547
52,116.68181818181819,1.0074681546996047
53,118.45454545454545,1.0067321506168925
54,120.22727272727272,1.0060863239028914
55,122.0,1.0055196257631471
56,123.77272727272727,1.0050223611337543
57,125.54545454545455,1.0045860228183388
58,127.31818181818181,1.0042031459470595
59,129.0909090909091,1.0038671802677197
60,130.86363636363637,1.003572378084143
61,132.63636363636363,1.003313695924666
62,134.4090909090909,1.0030867082584973
63,136.1818181818182,1.0028875317837957
64,137.95454545454544,1.0027127589921982
65,139.72727272727272,1.0025593998732132
66,141.5,1.0024248307611627
67,143.27272727272725,1.0023067494495463
68,145.04545454545456,1.0022031358049248
69,146.8181818181818,1.0021122172065047
70,148.5909090909091,1.002032438220167
71,150.36363636363637,1.0019624339881215
72,152.13636363636363,1.001901006878938
73,153.9090909090909,1.001847105998486
74,155.6818181818182,1.001799809211251
75,157.45454545454544,1.0017583073644538
76,159.22727272727272,1.001721890445076
77,161.0,1.0016899354329662
78,162.77272727272728,1.0016618956422212
79,164.54545454545453,1.0016372913684903
80,166.3181818181818,1.0016157016822003
81,168.0909090909091,1.0015967572272977
82,169.86363636363637,1.0015801339023114
83,171.63636363636363,1.001565547315628
84,173.4090909090909,1.0015527479201254
85,175.1818181818182,1.001541516743923
86,176.95454545454544,1.0015316616442143
87,178.72727272727272,1.0015230140200901
88,180.5,1.0015154259281174
89,182.27272727272728,1.0015087675513237
90,184.04545454545453,1.0015029249782916
91,185.8181818181818,1.0014977982543627
92,187.5909090909091,1.0014932996716153
93,189.36363636363637,1.001489352268358
94,191.13636363636363,1.0014858885124707
95,192.9090909090909,1.001482849146066
96,194.6818181818182,1.0014801821717054
97,196.45454545454544,1.0014778419628287
98,198.22727272727272,1.001475788483175
99,200.0,1.001473986601843
